Precinct,obama,romney,johnson,stein,other,totalvotes,PrecinctName,StateName,StateAbbr,dPct,rPct,leanD,leanR,otherPct,dDRPct,rDRPct
35-805,361,380,16,12,7,776,Cordova,AK,AK,0.465206185567,0.489690721649,0.95,1.05263157895,0.0090206185567,0.487179487179,0.512820512821
35-810,183,352,14,8,3,560,Flats,AK,AK,0.326785714286,0.628571428571,0.519886363636,1.92349726776,0.00535714285714,0.342056074766,0.657943925234
35-815,13,18,0,1,1,33,Kodiak Island South,AK,AK,0.393939393939,0.545454545455,0.722222222222,1.38461538462,0.030303030303,0.41935483871,0.58064516129
35-820,311,360,14,9,4,698,Kodiak No. 1,AK,AK,0.445558739255,0.515759312321,0.863888888889,1.1575562701,0.00573065902579,0.46348733234,0.53651266766
35-825,358,344,14,3,6,725,Kodiak No. 2,AK,AK,0.493793103448,0.474482758621,1.04069767442,0.960893854749,0.00827586206897,0.509971509972,0.490028490028
35-830,513,887,29,22,13,1464,Mission Road,AK,AK,0.350409836066,0.60587431694,0.578354002255,1.72904483431,0.00887978142077,0.366428571429,0.633571428571
35-835,28,22,5,0,0,55,Old Harbor,AK,AK,0.509090909091,0.4,1.27272727273,0.785714285714,0.0,0.56,0.44
35-840,50,15,2,0,1,68,Ouzinkie,AK,AK,0.735294117647,0.220588235294,3.33333333333,0.3,0.0147058823529,0.769230769231,0.230769230769
35-845,18,45,1,0,0,64,Port Lions,AK,AK,0.28125,0.703125,0.4,2.5,0.0,0.285714285714,0.714285714286
35-850,0,0,0,0,0,0,Tatitlek,AK,AK,,,,,,,
35-855,50,38,1,1,3,93,Whittier,AK,AK,0.537634408602,0.408602150538,1.31578947368,0.76,0.0322580645161,0.568181818182,0.431818181818
35-860,121,82,7,0,1,211,Yakutat,AK,AK,0.57345971564,0.388625592417,1.4756097561,0.677685950413,0.00473933649289,0.5960591133,0.4039408867
35-Early,2,0,0,0,1,3,Voting,AK,AK,0.666666666667,0.0,inf,0.0,0.333333333333,1.0,0.0
36-002,87,22,1,1,1,112,Akiachak,AK,AK,0.776785714286,0.196428571429,3.95454545455,0.252873563218,0.00892857142857,0.798165137615,0.201834862385
36-004,59,20,7,4,1,91,Akiak,AK,AK,0.648351648352,0.21978021978,2.95,0.338983050847,0.010989010989,0.746835443038,0.253164556962
36-006,31,14,1,1,1,48,Aleknagik,AK,AK,0.645833333333,0.291666666667,2.21428571429,0.451612903226,0.0208333333333,0.688888888889,0.311111111111
36-008,94,42,1,0,0,137,Aniak,AK,AK,0.686131386861,0.306569343066,2.2380952381,0.446808510638,0.0,0.691176470588,0.308823529412
36-010,10,11,0,1,0,22,Anvik,AK,AK,0.454545454545,0.5,0.909090909091,1.1,0.0,0.47619047619,0.52380952381
